"symbol","chain","market","qty","value","price","source","address"
"cUSDCv3","Mainnet","Not a market","24037703.325603","24037703.325603","1","Aera Compound Reserves","0x3D6eEf6A92b15361697698695334E98C5db91D6b"
"USDC","Mainnet","USDC (v3)","8046420.894333","8046420.894333","1","Market V3","0xc3d688B66703497DAA19211EEdff47f25384cdc3"
"ETH","Mainnet","Not a market","2833.3400874501835","4560740.536752475","1609.669293479286","Timelock","0x6d903f6003cca6255D85CcA4D3B5E5146dC33925"
"cWETHv3","Mainnet","Not a market","2069.4464670016137","3330596.0289228386","1609.4139578050954","Aera Compound Reserves","0x3D6eEf6A92b15361697698695334E98C5db91D6b"
"WETH","Mainnet","WETH (v3)","915.3651688377778","1473201.4792161374","1609.4139578050954","Market V3","0xA17581A9E3356d9A858b789D68B4d866e593aE94"
"USDC","Arbitrum","USDC (v3)","1197392.625074","1197392.625074","1","Market V3","0x9c4ec768c28520B50860ea7a15bd7213a9fF58bf"
"USDT","Mainnet","USDT (v3)","1174694.432793","1174694.432793","1","Market V3","0x3Afdc9BCA9213A35503b077a6072F3D0d5AB0840"
"COMP","Mainnet","Not a market","59999.99","942240.664252576","15.704013688211882","Delegate Race","0x603657fDEc47a9dF15A5661cE011E13C0D449982"
"COMP","Mainnet","Not a market","59999.99","942240.664252576","15.704013688211882","Delegate Race","0x2F845447F1040176091Ed16C72E9c4ddC292F14B"
"COMP","Mainnet","Not a market","59999","942225.1172790247","15.704013688211882","Delegate Race","0x99e0705d0C93f1cb982bCE4c14ce7feD7e23Cf83"
"COMP","Mainnet","Not a market","59999","942225.1172790247","15.704013688211882","Delegate Race","0x59dC38b5CEe74ca7189394eddAf5A13611DF0B63"
"COMP","Mainnet","Not a market","59998.979999999996","942224.803198751","15.704013688211882","Delegate Race","0xDff7Ea1B9c6c23d63B9038428767231439321D12"
"COMP","Mainnet","Not a market","59317.1","931516.5503450329","15.704013688211882","Delegate Race","0x1e76b5bcf86967d5555ECDEDDd67248F949dc5BC"
"COMP","Mainnet","Not a market","58949.759999999995","925747.8379568052","15.704013688211882","Delegate Race","0x1543D57471A5F168cBabb5922246a77013c9d2E4"
"COMP","Mainnet","Not a market","44371.81","696815.5116107368","15.704013688211882","Delegate Race","0xEC8604670F07dB6E40f84147F4297b7f58775350"
"USDC","Base","USDC (v3)","664083.250287","664083.250287","1","Market V3","0xb125E6687d4313864e53df431d5425969c15Eb2F"
"ETH","Mainnet","Not a market","354.48822181276773","570608.8055520862","1609.669293479286","The SVR Fee Collector","0xd9496F2A3fd2a97d8A4531D92742F3C8F53183cB"
"COMP","Mainnet","Not a market","34450","541003.2715588993","15.704013688211882","Delegate Race","0xC623e9bc66cF498ABdC3c7297e9Df95f20C2F0a8"
"COMP","Mainnet","Not a market","31735.79","498379.2805662178","15.704013688211882","Delegate Race","0xca038273e110c8e39543E7FAB9279FB42fE32c63"
"COMP","Mainnet","Not a market","29999.88","471118.5261647139","15.704013688211882","Delegate Race","0xe8B2B94612240d57D830944a668E4e48eDF9F9D8"
"USDC","Polygon","USDC (v3)","460779.46678","460779.46678","1","Market V3","0xF25212E676D1F7F89Cd72fFEe66158f541246445"
"WBTC","Mainnet","Not a market","7.1223002","428064.116193764","60101.94799058934","Timelock","0x6d903f6003cca6255D85CcA4D3B5E5146dC33925"
"USDS","Mainnet","USDS (v3)","425351.964884659","425351.964884659","1","Market V3","0x5D409e56D886231aDAf00c8775665AD0f9897b56"
"USD₮0","Arbitrum","USDT (v3)","351308.739807","351308.739807","1","Market V3","0xd98Be00b5D27fc98112BdE293e487f8D4cA57d07"
"wstETH","Mainnet","Not a market","137.27913148563923","273990.9269037475","1995.8672810543653","Compound Community Multisig","0xbbf3f1421D886E9b2c5D716B5192aC998af2012c"
"AERO","Base","AERO (v3)","531179.0282056244","242840.98779092345","0.4571735232305094","Market V3","0x784efeB622244d2348d4F2522f8860B96fbEcE89"
"USDe","Mantle","USDe (v3)","232650.90478936126","232650.90478936126","1","Market V3","0x606174f62cd968d8e684c645080fa694c1D7786E"
"COMP","Mainnet","Not a market","11110.352894607542","174477.13393778133","15.704013688211882","Immunefi Bug Bounty Program","0x429D01a5ff7f7880081f858B50C26452255477f5"
"WETH","Unichain","WETH (v3)","104.2268819638004","167744.1986110445","1609.4139578050954","Market V3","0x6C987dDE50dB1dcDd32Cd4175778C2a291978E2a"
"USDC","Optimism","USDC (v3)","126982.291685","126982.291685","1","Market V3","0x2e44e174f7D53F0212823acC11C01A11d58c5bCB"
"USDC","Mainnet","Not a market","125855.996459","125855.996459","1","Timelock","0x6d903f6003cca6255D85CcA4D3B5E5146dC33925"
"wstETH","Mainnet","Not a market","60.73580625005677","121220.60848294554","1995.8672810543653","Aera Compound Reserves","0x3D6eEf6A92b15361697698695334E98C5db91D6b"
"WBTC","Mainnet","WBTC (v3)","2.00048713","120233.17344310333","60101.94799058934","Market V3","0xe85Dc543813B8c2CFEaAc371517b925a166a9293"
"USDC","Mainnet","USDC (v2)","120224.58212","120224.58212","1","Market V2","0x39AA39c021dfbaE8faC545936693aC917d5E7563"
"DAI","Mainnet","DAI  (v2)","103677.23527624375","103677.23527624377","1","Market V2","0x5d3a536E4D6DbD6114cc1Ead35777bAB948E3643"
"USDC","Linea","USDC (v3)","100138.514611","100138.514611","1","Market V3","0x8D38A3d6B3c3B7d96D6536DA7Eef94A9d7dbC991"
"USDS","Base","USDS (v3)","95531.23272624594","95531.23272624594","1","Market V3","0x2c776041CCFe903071AF44aa147368a9c8EEA518"
"USDT","Optimism","USDT (v3)","91022.948186","91022.948186","1","Market V3","0x995E394b8B2437aC8Ce61Ee0bC610D617962B214"
"USDT","Polygon","USDT (v3)","90967.606503","90967.606503","1","Market V3","0xaeB318360f27748Acb200CE616E389A6C9409a07"
"WETH","Arbitrum","WETH (v3)","36.69177268896031","59052.25110222452","1609.4139578050954","Market V3","0x6f7D514bbD4aFf3BcD1140B7344b32f063dEe486"
"WBTC","Mainnet","WBTC (v2)","0.92972715","55878.41281473885","60101.94799058934","Market V2","0xccF4429DB6322D5C611ee964527D42E5d685DD6a"
"USDC","Unichain","USDC (v3)","53313.395873","53313.395873","1","Market V3","0x2c7118c4C88B9841FCF839074c26Ae8f035f2921"
"morphoUSDC","Polygon","Not a market","52070.6598502455","52070.6598502455","1","Timelock","0xCC3E7c85Bb0EE4f09380e041fee95a0caeDD4a02"
"TUSD","Mainnet","TUSD (v2)","50130.150029963224","50130.150029963224","1","Market V2","0x12392F67bdf24faE0AF363c24aC620a2f67DAd86"
"USDT","Mainnet","USDT (v2)","50055.332043","50055.332043","1","Market V2","0xf650C3d88D12dB855b8bf7D11Be6C55A4e07dCC9"
"AAVE","Mainnet","AAVE (v2)","515.4723641073429","47129.40186573146","91.42954142138481","Market V2","0xe65cdB6479BaC1e22340E4E755fAE7E509EcD06c"
"wstETH","Mainnet","WstETH (v3)","22.363018494118236","44633.61691802425","1995.8672810543653","Market V3","0x3D0bb1ccaB520A66e607822fC55BC921738fAFE3"
"COMP","Mainnet","COMP (v2)","2833.085737166981","44490.81719634812","15.704013688211882","Market V2","0x70e36f6BF80a52b3B46b3aF8e106CC0ed743E8e4"
"UNI","Mainnet","UNI (v2)","15081.56040266731","43639.84562427535","2.8935895530118523","Market V2","0x35A18000230DA775CAc24873d00Ff85BccdeD550"
"BAT","Mainnet","BAT (v2)","519695.7244468211","42753.97484779178","0.08226732073522508","Market V2","0x6C8c6b02E7b2BE14d4fA6022Dfd6d75921D90E4E"
"USDC","Arbitrum","USDCe (v3)","42283.569574","42283.569574","1","Market V3","0xA5EDBDD9646f8dFF606d7448e414884C7d905dCA"
"LINK","Mainnet","LINK (v2)","5718.446005392108","42144.31418506127","7.369889327506463","Market V2","0xFAce851a4921ce59e912d19329929CE6da6EB0c7"
"WETH","Linea","WETH (v3)","25.897858290990744","41680.37461077892","1609.4139578050954","Market V3","0x60F2058379716A64a7A5d29219397e79bC552194"
"ETH","Mainnet","ETH (v2)","25.022945971690294","40278.66776302106","1609.669293479286","Market V2","0x4Ddc2D193948926D02f9B1fE9e1daa0718270ED5"
"WETH","Ronin","WETH (v3)","24.793627800802692","39903.21064723631","1609.4139578050954","Market V3","0x4006eD4097Ee51c09A04c3B0951D28CCf19e6DFE"
"COMP","Mainnet","Not a market","2518.8640880000003","39556.276116697336","15.704013688211882","Aera Compound Reserves","0x3D6eEf6A92b15361697698695334E98C5db91D6b"
"USDP","Mainnet","USDP (v2)","36069.76670525084","36069.76670525084","1","Market V2","0x041171993284df560249B57358F931D9eB7b925D"
"WETH","Optimism","WETH (v3)","21.83424232868617","35140.33436188635","1609.4139578050954","Market V3","0xE36A30D249f7761327fd973001A32010b521b6Fd"
