id,date,name,category,chain,funds_lost,funds_recovered,funds_returned,scam_type,scam_parent,year
38,2020-10-20,Foxy.farm,NFT,Ethereum,6154.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
41,2020-09-19,LV Finance,Yield Aggregator,Ethereum,333987.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
43,2021-06-03,Delicacy DeFi,Exchange (DEX),Binance,3725.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2021
44,2020-09-24,Tomatos,Exchange (DEX),Ethereum,286136.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
45,2021-03-16,Dragonswap,Exchange (DEX),Binance,28710.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2021
46,2020-09-24,UniCat.farm,Exchange (DEX),Ethereum,713402.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
47,2021-03-04,Thunder Finance,Exchange (DEX),Binance,18558.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2021
48,2020-10-19,XYearn,Gaming / Metaverse,Ethereum,129526.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
49,2020-09-17,WinPlay,Gaming / Metaverse,Ethereum,25773.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
50,2020-11-26,MiniVault.Finance,Stablecoin,Ethereum,17372.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
51,2020-11-23,Deriswap,Stablecoin,Ethereum,2170264.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
52,2020-12-17,Deriswap,Stablecoin,Ethereum,3262.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
53,2020-10-08,Unidark,Other,Ethereum,29887.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
54,2020-11-19,MTI Finance,Token,Ethereum,32065.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
55,2020-11-12,SoftdrinkSwap,Exchange (DEX),Binance,0.0,0.0,0.0,Abandoned,Exit Scam/Abandoned,2020
56,2020-11-15,Walletreum,Borrowing and Lending,Ethereum,138340.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
57,2020-12-19,K3psav.Finance,Token,Ethereum,2512.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
58,2020-11-17,SAV3R,Token,Ethereum,10423.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
59,2020-10-09,CBDAO,Other,Ethereum,83884.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
60,2020-10-23,SuperMarioBros,Other,Ethereum,9669.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
61,2020-11-06,YFFC,Yield Aggregator,Ethereum,72446.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
62,2021-03-04,Mars Farm,Borrowing and Lending,Binance,37645.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2021
63,2021-03-16,Turtledex,Other,Binance,2324610.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2021
64,2021-03-19,NarutoSwap,Exchange (DEX),Binance,24424.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2021
65,2021-03-18,Horizon Finance,Other,Binance,25287.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2021
66,2021-03-17,Shadetech,Other,Ethereum,224579.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2021
67,2021-01-22,Poz finance,Yield Aggregator,Binance,56292.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2021
68,2021-02-08,Orbit Swap,Token,Binance,36441.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2021
71,2021-03-16,Bep Finance,Yield Aggregator,Binance,212432.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2021
72,,Pill Finance,Exchange (DEX),Binance,0.0,0.0,0.0,Other,Exploit/Other,
73,2021-03-15,LaserSwap Cash,Exchange (DEX),Binance,1280809.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2021
74,2021-03-12,True Seigniorage Dollar,Stablecoin,Ethereum,16644.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2021
75,2021-03-11,Rise Protocol,Yield Aggregator,Ethereum,59164.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2021
76,,Generate Finance,Yield Aggregator,Binance,0.0,0.0,0.0,Other,Exploit/Other,
77,2021-03-09,Chad Token,Token,Binance,0.0,0.0,0.0,Honeypot,Exit Scam/Honeypot,2021
78,,BoobsFinance,Token,Binance,0.0,0.0,0.0,Other,Exploit/Other,
79,2021-03-12,OgreSwap,Exchange (DEX),Binance,0.0,0.0,0.0,Other,Exploit/Other,2021
80,2021-03-12,Chef Swap,Exchange (DEX),Binance,0.0,0.0,0.0,Other,Exploit/Other,2021
81,2021-03-14,Crocoswap finance,Exchange (DEX),Binance,0.0,0.0,0.0,Other,Exploit/Other,2021
82,2020-11-05,Keep3rX.finance,Token,Ethereum,1813.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
83,2020-11-02,Groot.finance,Token,Ethereum,4049.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
84,2020-12-25,Metropolis.finance,Token,Ethereum,7805.0,0.0,0.0,Rugpull,Exit Scam/Rugpull,2020
