date,name,gross,recovered,net,classification,technique,chains,in_scope_chain,bridge_hack,target_type,is_defi_protocol,defillamaId,category,sector
2016-06-17,The DAO,60000000.0,0.0,60000000.0,Protocol Logic,Reentrancy,Ethereum,True,False,DeFi Protocol,True,,,Other
2017-07-18,CoinDash,7700000.0,0.0,7700000.0,Protocol Logic,Frontend Attack,Ethereum,True,False,ICO,False,,,Other
2017-11-09,Parity Multisig,150000000.0,0.0,150000000.0,Protocol Logic,Contract not initialized,Ethereum,True,False,DeFi Protocol,True,,,Other
2018-01-26,Coincheck,534000000.0,0.0,534000000.0,Infrastructure,Private Key Compromised (Unknown Method),NEM,False,False,CEX,False,,,Other
2018-04-21,Gate,235000000.0,0.0,235000000.0,Infrastructure,Private Key Compromised (Unknown Method),,False,False,CEX,False,2314.0,CEX,Other
2020-02-12,Trinity Wallet,2350000.0,0.0,2350000.0,Infrastructure,Cloudflare Key Compromised,Iota,False,False,Wallet,False,,,Other
2020-02-15,Ooki,350000.0,0.0,350000.0,Protocol Logic,Flashloan Slippage Attack,Ethereum,True,False,DeFi Protocol,True,197.0,Lending,Lending
2020-02-18,Ooki,650000.0,0.0,650000.0,Protocol Logic,Flashloan Price Oracle Attack,Ethereum,True,False,DeFi Protocol,True,197.0,Lending,Lending
2020-04-19,dForce Lending,25000000.0,0.0,25000000.0,Protocol Logic,Reentrancy,Ethereum,True,False,DeFi Protocol,True,123.0,Lending,Lending
2020-04-19,Lendf.me,1200000.0,0.0,1200000.0,Smart Contract Language,Reentrancy,Ethereum,True,False,DeFi Protocol,True,,,Other
2020-09-28,Eminence,15000000.0,0.0,15000000.0,Ecosystem,Flashloan Price Oracle Attack,Ethereum,True,False,DeFi Protocol,True,,,Other
2020-09-29,KuCoin,45000000.0,0.0,45000000.0,Infrastructure,Private Key Compromised (Unknown Method),Ethereum,True,False,CEX,False,2274.0,CEX,Other
2020-10-26,Harvest Finance,25000000.0,0.0,25000000.0,Ecosystem,Flashloan Price Oracle Attack,Ethereum,True,False,DeFi Protocol,True,112.0,Yield Aggregator,Yield
2020-11-12,Akropolis,2000000.0,0.0,2000000.0,Ecosystem,Flashloan Reentrancy Attack,Ethereum,True,False,DeFi Protocol,True,,Yield,Yield
2020-11-14,ValueDefi,7000000.0,0.0,7000000.0,Ecosystem,Flashloan Price Oracle Attack,Ethereum,True,False,DeFi Protocol,True,164.0,Dexs,DEX
2020-11-16,CheeseBank,3300000.0,0.0,3300000.0,Ecosystem,Flashloan Price Oracle Attack,Ethereum,True,False,DeFi Protocol,True,,,Other
2020-11-17,Origin Protocol,8000000.0,0.0,8000000.0,Ecosystem,Flashloan Reentrancy Attack,Ethereum,True,False,DeFi Protocol,True,,,Other
2020-11-22,Pickle,19700000.0,0.0,19700000.0,Protocol Logic,Vault Swap Exploit,Ethereum,True,False,DeFi Protocol,True,134.0,Yield Aggregator,Yield
2020-12-02,Compounder Finance,12000000.0,0.0,12000000.0,Rugpull,Drained Contracts,Ethereum,True,False,DeFi Protocol,True,,,Other
2020-12-18,Warp Protocol,7800000.0,0.0,7800000.0,Ecosystem,Flashloan Price Oracle Attack,Ethereum,True,False,DeFi Protocol,True,601.0,Lending,Lending
2020-12-28,LuBian,3500000000.0,0.0,3500000000.0,Infrastructure,Private Key Compromised (Brute Force),Bitcoin,True,False,Other,False,,,Other
2020-12-29,Cover Protocol,9400000.0,0.0,9400000.0,Protocol Logic,Incentives Function Mistake,Ethereum,True,False,DeFi Protocol,True,165.0,Insurance,Other
2021-02-05,Yearn Finance,11000000.0,0.0,11000000.0,Ecosystem,Flashloan Price Oracle Attack,Ethereum,True,False,DeFi Protocol,True,113.0,Yield Aggregator,Yield
2021-02-09,Growth DeFi,1300000.0,0.0,1300000.0,Ecosystem,Flashloan Price Oracle Attack,Ethereum,True,False,DeFi Protocol,True,159.0,Yield,Yield
2021-02-13,Alpha Finance,37500000.0,0.0,37500000.0,Ecosystem,Flashloan Pool Shares Exploit,Ethereum,True,False,DeFi Protocol,True,,,Other
